training_seed,model,rmse_mean,rmse_std_over_cells,violation_rate_mean,violation_rate_std_over_cells,folds
42,lstm,0.22163860182500775,0.03738481106133498,0.0,0.0,6
42,pinn,0.31240655013843116,0.1704740556747483,0.0,0.0,6
123,lstm,0.22240384351418405,0.03716412450155972,0.0,0.0,6
123,pinn,2.3952873885434802,2.4045795932078016,0.0,0.0,6
456,lstm,0.22223190310061738,0.03799024049129273,0.0,0.0,6
456,pinn,0.23648778178527394,0.030176330492986833,0.0,0.0,6
