Model,Battery,RMSE,HDI_Coverage,Uncertainty_Width
Hierarchical Bayesian,B0005,25.47496611688042,12.0,32.48973768697303
LSTM (MC Dropout),B0005,33.524738344313555,9.473684210526317,9.507561683654785
Hierarchical Bayesian,B0006,8.954701982292521,95.41284403669725,33.25470248081991
LSTM (MC Dropout),B0006,28.009686565613443,11.39240506329114,8.933438301086426
Hierarchical Bayesian,B0007,67.04931717430792,0.0,30.243543509600833
LSTM (MC Dropout),B0007,61.17505778756976,5.797101449275362,8.203463554382324
Hierarchical Bayesian,B0018,18.84590983830205,37.11340206185567,32.94500100622506
LSTM (MC Dropout),B0018,19.560129430299742,14.925373134328357,9.562660217285156
