Model,Battery,RMSE,MAE,NLL,PICP,MPIW
Linear Regression,B0005,36.39803699102832,28.207110287156063,5.105575262921458,0.9880952380952381,199.97562207932052
LSTM,B0005,157.14027492607462,125.71221994085971,,,
Linear Regression,B0006,50.42628775404991,41.87132535197258,5.34493139066769,0.9523809523809523,183.8937617649798
LSTM,B0006,157.14021751168093,125.71217400934475,,,
Linear Regression,B0007,62.18468066731751,53.14908760116231,5.7043112699280005,0.8392857142857143,172.05183628199438
LSTM,B0007,157.14022070135744,125.71217656108595,,,
Linear Regression,B0018,126.2733310661558,105.52280081574405,10.111225018392116,0.45454545454545453,148.46433267297354
LSTM,B0018,132.24894977022683,105.79915981618147,,,
