RMSE,MAE,MAPE,R2,NLL,CRPS,PICP,MPIW,IS,model,fold,seed,train_time_s,infer_time_ms,config_hash
52.67609021465631,45.04400010234431,91.14812080179091,-2.6898543621045357,11679.668964976814,44.84969858129427,0.010526315789473684,1.3701928853988647,1776.0208443553825,LSTM_h16,B0005,42,5.64,1462.85,db5c5c5d
52.483520379538504,44.83076691125569,90.71421867153346,-2.662925414134885,9079.99975183618,44.60855453225351,0.021052631578947368,1.5501694679260254,1763.9737912830553,LSTM_h16,B0005,43,5.61,1450.18,db5c5c5d
43.42921122077831,37.05026375492917,89.98697394107215,-2.627108437036494,7964.145753843389,36.85518539946538,0.012658227848101266,1.3675711154937744,1456.2514101749734,LSTM_h16,B0006,42,5.65,1460.27,db5c5c5d
43.27996631273168,36.87864797628379,89.27620342941816,-2.602222084675364,6426.373365534589,36.66026045439204,0.012658227848101266,1.5329480171203613,1446.3405622606035,LSTM_h16,B0006,43,5.67,1441.5,db5c5c5d
77.51802381492509,66.54432487142259,93.41781621700245,-2.786615984564171,25967.287964916624,66.35198409390168,0.007246376811594203,1.3447729349136353,2636.3624397498975,LSTM_h16,B0007,42,5.56,1537.3,db5c5c5d
77.32348440261957,66.3259713926177,92.93832671933531,-2.76763403255505,19996.208854632972,66.10430466960172,0.007246376811594203,1.5481547117233276,2623.7951645004578,LSTM_h16,B0007,43,5.58,1456.61,db5c5c5d
36.531360101160196,31.089947403366885,88.57013932523374,-2.5682894942263075,5731.3534998609,30.89696335639112,0.014925373134328358,1.3597697019577026,1218.083728137301,LSTM_h16,B0018,42,5.56,1450.48,db5c5c5d
36.32537981792046,30.86653621161162,88.01211538390243,-2.5281636869416646,4373.435312710719,30.64474581471349,0.029850746268656716,1.555429220199585,1205.4588823727706,LSTM_h16,B0018,43,5.66,1449.66,db5c5c5d
51.70965199115617,43.98046986429315,88.70425634979564,-2.555702272668193,4974.465042871986,43.68804173984041,0.021052631578947368,2.0491321086883545,1720.6976497725436,LSTM_h32,B0005,42,6.06,1533.73,5dedf4a9
51.55981185649846,43.826974836148715,88.50526629287475,-2.5351252641988293,4470.213933722132,43.506734358621024,0.031578947368421054,2.2399542331695557,1710.9651040403467,LSTM_h32,B0005,43,6.06,1533.57,5dedf4a9
42.48183760150685,36.01101708713966,87.14726814141326,-2.470589473078464,3356.066322508364,35.72024516403889,0.0379746835443038,2.0555076599121094,1401.9733334191237,LSTM_h32,B0006,42,6.11,1509.02,5dedf4a9
42.33551471602181,35.867173430285874,87.09954721578444,-2.446722704366345,3040.157426475935,35.549157969032336,0.02531645569620253,2.227083921432495,1392.896484945394,LSTM_h32,B0006,43,6.08,1550.06,5dedf4a9
76.52651159158,65.43954378798388,91.3173304624963,-2.690368309432062,10972.691670000588,65.14883112896692,0.014492753623188406,2.029106855392456,2579.2427598151608,LSTM_h32,B0007,42,6.0,1578.19,5dedf4a9
76.40757406691078,65.30903406419615,91.26818855385174,-2.6789060808425926,9725.328531756357,64.99067057240833,0.014492753623188406,2.2256791591644287,2570.433554974155,LSTM_h32,B0007,43,6.03,1587.31,5dedf4a9
35.54936858056206,30.02649570934808,85.5058829166206,-2.379031033360034,2323.4077311337096,29.737752749882358,0.04477611940298507,2.055206775665283,1162.8106657213239,LSTM_h32,B0018,42,6.12,1520.63,5dedf4a9
35.55793696812279,30.045226687815653,85.502975805248,-2.3806601107727094,2122.071783791213,29.73005320525029,0.04477611940298507,2.2124593257904053,1160.3850762239142,LSTM_h32,B0018,43,6.04,1558.41,5dedf4a9
49.47333089921638,41.597803060632,85.9375488506552,-2.2548011572651037,1570.9465481461434,41.10377556976581,0.031578947368421054,3.473780632019043,1598.9998225663837,LSTM_h64,B0005,42,7.47,1086.17,268ac103
48.803811398197084,40.896492556521764,85.4462710836928,-2.1673032007856268,1293.6421016660438,40.357230253374816,0.042105263157894736,3.8231184482574463,1565.0760146944147,LSTM_h64,B0005,43,7.82,1088.2,268ac103
40.6280287955372,34.05357645734956,84.47237715823192,-2.1743013919442307,1130.447080681972,33.5786736923066,0.05063291139240506,3.3475735187530518,1299.7851142038273,LSTM_h64,B0006,42,7.53,1518.57,268ac103
