RMSE,MAE,MAPE,R2,NLL,CRPS,PICP,MPIW,IS,model,fold,seed,train_time_s,infer_time_ms,config_hash
49.48728804843247,41.612278140218635,85.48455298512476,-2.256637870197509,1871.802437437481,41.124733064751986,0.021052631578947368,3.419260025024414,1600.1893206721859,LSTM_mc10,B0005,42,7.52,215.7,98f230d6
40.63764312250545,34.08264632164678,85.0506078074628,-2.175803920292528,1426.7054277817076,33.615330785414514,0.05063291139240506,3.277874231338501,1301.8596192221098,LSTM_mc10,B0006,42,7.57,298.14,98f230d6
74.5989338923324,63.333325043968536,89.59817385603172,-2.506800990099824,4944.244485585422,62.8836588347941,0.014492753623188406,3.146273374557495,2474.0700190188227,LSTM_mc10,B0007,42,7.2,247.05,98f230d6
33.163313867347306,27.58677124621263,82.91329659346599,-1.940656114075375,770.6259151563589,27.095799582769537,0.04477611940298507,3.4974887371063232,1038.9714681105827,LSTM_mc10,B0018,42,7.59,300.43,98f230d6
49.470559075053224,41.60771936115466,85.70274022735998,-2.254436456380759,1615.1873513299772,41.11108642472512,0.031578947368421054,3.479707717895508,1598.9501680047888,LSTM_mc25,B0005,42,7.52,535.13,ed45db20
40.61605268861573,34.059391359739664,84.87258011683684,-2.1724302615469413,1200.3454071709155,33.58142981155202,0.0379746835443038,3.3525242805480957,1299.6867666335045,LSTM_mc25,B0006,42,7.53,775.56,ed45db20
74.58682093897633,63.317622281502985,89.04791739893476,-2.505662253499712,4188.1877350270815,62.8527713629495,0.021739130434782608,3.2588517665863037,2471.567259380783,LSTM_mc25,B0007,42,7.24,616.52,ed45db20
33.14735216250683,27.591676655100354,83.22162337878893,-1.93782608391777,721.5042817174034,27.09377354457314,0.04477611940298507,3.555342435836792,1037.7148964938833,LSTM_mc25,B0018,42,7.61,746.69,ed45db20
49.47333089921638,41.597803060632,85.9375488506552,-2.2548011572651037,1570.9465481461434,41.10377556976581,0.031578947368421054,3.473780632019043,1598.9998225663837,LSTM_mc50,B0005,42,7.51,1095.31,268ac103
40.6280287955372,34.05357645734956,84.47237715823192,-2.1743013919442307,1130.447080681972,33.5786736923066,0.05063291139240506,3.3475735187530518,1299.7851142038273,LSTM_mc50,B0006,42,7.56,1569.69,268ac103
74.59474285859666,63.32526017963023,89.05063312600807,-2.5064069708387273,3979.0462932553414,62.85485157387817,0.028985507246376812,3.2989563941955566,2471.1098893034286,LSTM_mc50,B0007,42,7.18,1251.19,268ac103
33.16274273605466,27.58721948737529,83.28832970443986,-1.9405548282827434,691.9453989536644,27.090949641798115,0.04477611940298507,3.52892804145813,1038.033971786499,LSTM_mc50,B0018,42,7.55,1499.45,268ac103
49.46821049063878,41.58774588233546,85.72835483361587,-2.2541274589709372,1503.7317947186127,41.084869756166306,0.031578947368421054,3.540438652038574,1597.3800151323017,LSTM_mc100,B0005,42,7.54,2178.56,8acd3ef2
40.61573570363086,34.050992241388634,84.7511716446364,-2.172380743744605,1103.894351131753,33.5722786602842,0.05063291139240506,3.3772995471954346,1299.1940622088275,LSTM_mc100,B0006,42,7.55,3063.08,8acd3ef2
74.58372779600899,63.31224782916083,88.93187806964788,-2.505371497316072,3839.4224394152498,62.834794236469705,0.021739130434782608,3.342984437942505,2469.6120657350707,LSTM_mc100,B0007,42,7.19,2444.11,8acd3ef2
33.152222865819496,27.577550866710606,83.13012881263356,-1.938689521243223,657.5566633404258,27.07231162146108,0.04477611940298507,3.585693120956421,1036.5422758557904,LSTM_mc100,B0018,42,7.5,3062.3,8acd3ef2
49.467452107169976,41.58715501584505,85.75655154439298,-2.2540276834776005,1451.0936091486785,41.07648218408818,0.031578947368421054,3.603694438934326,1596.2851860523224,LSTM_mc200,B0005,42,7.63,4352.21,40491f55
40.61003792319733,34.04199090185045,84.53677004432313,-2.1714907310067795,1085.319974386764,33.558754079596916,0.05063291139240506,3.4187068939208984,1298.2119975422002,LSTM_mc200,B0006,42,7.61,6152.93,40491f55
74.57882524515826,63.30479360317838,88.9052028991133,-2.504910681057304,3729.5919735073153,62.822007375599675,0.028985507246376812,3.3835082054138184,2468.632568269536,LSTM_mc200,B0007,42,7.11,4904.69,40491f55
33.15100055511742,27.574245830080404,83.04616712505486,-1.938472828356673,634.9098070306259,27.06040804159984,0.04477611940298507,3.653846502304077,1035.3610167467773,LSTM_mc200,B0018,42,7.57,6002.13,40491f55
