Model,RMSE,Physical_Violation_Rate,Inference_Time_ms,Noise_Level
LSTM (Data-Driven),0.05633268656320257,0.18546365914786966,2229.836940765381,0.5
PINN (Physics-Constrained),0.16068806929656373,0.0,10.970354080200195,0.5
