protocol,cell_id,seed,corruption,model,rmse,violation_rate,violation_count
same_cell,CS2_34,123,bias_drift,pinn,0.15395932152817438,0.0,0
same_cell,CS2_34,123,bias_drift,lstm,0.14123775777600325,0.0,0
same_cell,CS2_35,123,bias_drift,pinn,0.21014266112282173,0.0,0
same_cell,CS2_35,123,bias_drift,lstm,0.19810929740434463,0.0,0
same_cell,CS2_36,123,bias_drift,pinn,1.2171336766656198,0.0,0
same_cell,CS2_36,123,bias_drift,lstm,0.24831586469323494,0.0,0
same_cell,CS2_37,123,bias_drift,pinn,0.30315094613435317,0.0,0
same_cell,CS2_37,123,bias_drift,lstm,0.2218674539602744,0.0,0
same_cell,CS2_38,123,bias_drift,pinn,0.22137499437657526,0.0,0
same_cell,CS2_38,123,bias_drift,lstm,0.2063947230843474,0.0,0
same_cell,CS2_33,456,bias_drift,pinn,0.30081016077746114,0.0,0
same_cell,CS2_33,456,bias_drift,lstm,0.2759711451862716,0.0,0
same_cell,CS2_34,456,bias_drift,pinn,0.1577982424568261,0.0,0
same_cell,CS2_34,456,bias_drift,lstm,0.1409457141971888,0.0,0
same_cell,CS2_35,456,bias_drift,pinn,0.20702920055883278,0.0,0
same_cell,CS2_35,456,bias_drift,lstm,0.19979992055306792,0.0,0
same_cell,CS2_36,456,bias_drift,pinn,1.1964359286429602,0.0,0
same_cell,CS2_36,456,bias_drift,lstm,0.24871427006881772,0.0,0
same_cell,CS2_37,456,bias_drift,pinn,0.2923203645387319,0.0,0
same_cell,CS2_37,456,bias_drift,lstm,0.2209646385159583,0.0,0
same_cell,CS2_38,456,bias_drift,pinn,0.22010009474395734,0.0,0
same_cell,CS2_38,456,bias_drift,lstm,0.20662347413842452,0.0,0
same_cell,CS2_33,789,bias_drift,pinn,0.298962189287879,0.0,0
same_cell,CS2_33,789,bias_drift,lstm,0.2771503913264253,0.0,0
same_cell,CS2_34,789,bias_drift,pinn,0.1574980560214192,0.0,0
same_cell,CS2_34,789,bias_drift,lstm,0.14161756789445512,0.0,0
same_cell,CS2_35,789,bias_drift,pinn,0.20886642254288149,0.0,0
same_cell,CS2_35,789,bias_drift,lstm,0.200088785561033,0.0,0
same_cell,CS2_36,789,bias_drift,pinn,1.1768839392365331,0.0,0
same_cell,CS2_36,789,bias_drift,lstm,0.24872757539655038,0.0,0
same_cell,CS2_37,789,bias_drift,pinn,0.3039453697663274,0.0,0
same_cell,CS2_37,789,bias_drift,lstm,0.2220968197521819,0.0,0
same_cell,CS2_38,789,bias_drift,pinn,0.2268006531278871,0.0,0
same_cell,CS2_38,789,bias_drift,lstm,0.2065006336192223,0.0,0
same_cell,CS2_33,1024,bias_drift,pinn,0.2952829732126964,0.0,0
same_cell,CS2_33,1024,bias_drift,lstm,0.27658483508299264,0.0,0
same_cell,CS2_34,1024,bias_drift,pinn,0.15357869008645553,0.0,0
same_cell,CS2_34,1024,bias_drift,lstm,0.14122737298291294,0.0,0
same_cell,CS2_35,1024,bias_drift,pinn,0.20884200966153482,0.0,0
same_cell,CS2_35,1024,bias_drift,lstm,0.19914800941861394,0.0,0
same_cell,CS2_36,1024,bias_drift,pinn,1.1928989237483685,0.0,0
same_cell,CS2_36,1024,bias_drift,lstm,0.24976620245303852,0.0,0
same_cell,CS2_37,1024,bias_drift,pinn,0.30856231466376083,0.0,0
same_cell,CS2_37,1024,bias_drift,lstm,0.22156268442116994,0.0,0
same_cell,CS2_38,1024,bias_drift,pinn,0.23150193537030386,0.0,0
same_cell,CS2_38,1024,bias_drift,lstm,0.20638465071858356,0.0,0
same_cell,CS2_33,42,impulse_spikes,pinn,0.3134088474650139,0.0,0
same_cell,CS2_33,42,impulse_spikes,lstm,0.27717565270038347,0.0,0
same_cell,CS2_34,42,impulse_spikes,pinn,0.15685146469534986,0.0,0
same_cell,CS2_34,42,impulse_spikes,lstm,0.14146065387207904,0.0,0
same_cell,CS2_35,42,impulse_spikes,pinn,0.2066874530556659,0.0,0
same_cell,CS2_35,42,impulse_spikes,lstm,0.1999529187001975,0.0,0
same_cell,CS2_36,42,impulse_spikes,pinn,1.1827493274437608,0.0,0
same_cell,CS2_36,42,impulse_spikes,lstm,0.24837734661723024,0.0,0
same_cell,CS2_37,42,impulse_spikes,pinn,0.29754857647323196,0.0,0
