,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.0,0.012,-0.021,0.022,0.0,0.0,11476.0,8139.0,1.0
beta_income,0.853,0.012,0.832,0.875,0.0,0.0,9931.0,8622.0,1.0
sigma,0.522,0.008,0.507,0.538,0.0,0.0,11016.0,8622.0,1.0
