feature,coef,abs_coef,cluster
num__income_cluster_0,0.13980453590401612,0.13980453590401612,0
num__income_cluster_1,0.09143466379533974,0.09143466379533974,1
num__income_cluster_2,0.12731578616033962,0.12731578616033962,2
num__income_cluster_3,0.12547498314960506,0.12547498314960506,3
num__income_cluster_4,0.08953545701118515,0.08953545701118515,4
num__income_cluster_5,0.13505479548405536,0.13505479548405536,5
num__income_cluster_6,0.10787850207733413,0.10787850207733413,6
num__income_cluster_7,0.09314804203244442,0.09314804203244442,7
