mean,count,slice_type,slice
0.4289476123025868,500,lat_bucket,mid-north
0.4080957258597828,527,age_bucket,mid-old
0.4072472979769403,500,income_bucket,mid-low
0.4031177966153649,500,lat_bucket,north
0.40304505983968547,456,age_bucket,old
0.400706689108909,507,age_bucket,mid-new
0.3989924622464083,500,income_bucket,low
0.3954094888616394,500,income_bucket,mid-high
0.39401135119913155,500,income_bucket,high
0.38859476673133564,500,lat_bucket,mid-south
0.38395492931145253,510,age_bucket,new
0.3750004246348322,500,lat_bucket,south
